"ID";"QA";"Time";"Station";"Controller_Serial_Number";"Note";"Is_Re_Work";"isPaid"
1;"a1956";"2019-11-18 13:51:06";"Receiving Station";"30N004000130";"Received Controller Serial Number : 30N004000130";0;0
2;"a1956";"2019-11-18 13:51:16";"Assembly Station";"30N004000130";"Assembler Controller Serial Number : 30N004000130";0;0
3;"a1956";"2019-11-18 13:51:21";"Firmware Update Station";"30N004000130";"Firmware update";0;0
4;"a1956";"2019-11-18 13:53:50";"Added to waiting list burn in";"30N004000130";"Added to burn in system.";0;0
5;"a1956";"2019-11-18 13:53:53";"Burn In Station";"30N004000130";"Started Burn In Process";0;0
6;"a1956";"2019-11-18 13:54:15";"Result Station";"30N004000130";"Marked Fail: Fan Noise";0;0
7;"a1956";"2019-11-18 13:57:48";"Receiving Station";"30N004000357";"Received Controller Serial Number : 30N004000357";0;0
8;"a1956";"2019-11-18 13:57:53";"Receiving Station";"30N004000208";"Received Controller Serial Number : 30N004000208";0;0
9;"a1956";"2019-11-18 13:57:59";"Receiving Station";"30N004000037";"Received Controller Serial Number : 30N004000037";0;0
10;"a1956";"2019-11-18 13:58:04";"Receiving Station";"30N004000014";"Received Controller Serial Number : 30N004000014";0;0
11;"a1956";"2019-11-18 13:59:00";"Receiving Station";"30N004000145";"Received Controller Serial Number : 30N004000145";0;0
12;"a1956";"2019-11-18 13:59:11";"Receiving Station";"30N004000355";"Received Controller Serial Number : 30N004000355";0;0
13;"a1956";"2019-11-18 13:59:16";"Receiving Station";"30N004000308";"Received Controller Serial Number : 30N004000308";0;0
14;"a1956";"2019-11-18 13:59:23";"Receiving Station";"30N004000361";"Received Controller Serial Number : 30N004000361";0;0
15;"a1956";"2019-11-18 13:59:35";"Assembly Station";"30N004000357";"Assembler Controller Serial Number : 30N004000357";0;0
16;"a1956";"2019-11-18 13:59:39";"Assembly Station";"30N004000208";"Assembler Controller Serial Number : 30N004000208";0;0
17;"a1956";"2019-11-18 13:59:43";"Assembly Station";"30N004000037";"Assembler Controller Serial Number : 30N004000037";0;0
18;"a1956";"2019-11-18 13:59:46";"Assembly Station";"30N004000014";"Assembler Controller Serial Number : 30N004000014";0;0
19;"a1956";"2019-11-18 13:59:50";"Assembly Station";"30N004000145";"Assembler Controller Serial Number : 30N004000145";0;0
20;"a1956";"2019-11-18 14:00:00";"Assembly Station";"30N004000355";"Assembler Controller Serial Number : 30N004000355";0;0
21;"a1956";"2019-11-18 14:00:03";"Assembly Station";"30N004000308";"Assembler Controller Serial Number : 30N004000308";0;0
22;"a1956";"2019-11-18 14:00:07";"Assembly Station";"30N004000361";"Assembler Controller Serial Number : 30N004000361";0;0
23;"a1956";"2019-11-18 14:00:12";"Firmware Update Station";"30N004000361";"Firmware update";0;0
24;"a1956";"2019-11-18 14:00:16";"Firmware Update Station";"30N004000308";"Firmware update";0;0
25;"a1956";"2019-11-18 14:00:19";"Firmware Update Station";"30N004000355";"Firmware update";0;0
26;"a1956";"2019-11-18 14:00:23";"Firmware Update Station";"30N004000145";"Firmware update";0;0
27;"a1956";"2019-11-18 14:00:27";"Firmware Update Station";"30N004000014";"Firmware update";0;0
28;"a1956";"2019-11-18 14:00:30";"Firmware Update Station";"30N004000037";"Firmware update";0;0
29;"a1956";"2019-11-18 14:00:33";"Firmware Update Station";"30N004000208";"Firmware update";0;0
30;"a1956";"2019-11-18 14:00:37";"Firmware Update Station";"30N004000357";"Firmware update";0;0
31;"a1956";"2019-11-18 14:00:58";"Added to waiting list burn in";"30N004000357";"Added to burn in system.";0;0
32;"a1956";"2019-11-18 14:01:01";"Added to waiting list burn in";"30N004000208";"Added to burn in system.";0;0
33;"a1956";"2019-11-18 14:01:05";"Added to waiting list burn in";"30N004000037";"Added to burn in system.";0;0
34;"a1956";"2019-11-18 14:01:10";"Added to waiting list burn in";"30N004000014";"Added to burn in system.";0;0
35;"a1956";"2019-11-18 14:01:14";"Added to waiting list burn in";"30N004000145";"Added to burn in system.";0;0
36;"a1956";"2019-11-18 14:01:17";"Added to waiting list burn in";"30N004000355";"Added to burn in system.";0;0
37;"a1956";"2019-11-18 14:01:21";"Added to waiting list burn in";"30N004000308";"Added to burn in system.";0;0
38;"a1956";"2019-11-18 14:01:27";"Added to waiting list burn in";"30N004000361";"Added to burn in system.";0;0
39;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000357";"Started Burn In Process";0;0
40;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000208";"Started Burn In Process";0;0
41;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000037";"Started Burn In Process";0;0
42;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000014";"Started Burn In Process";0;0
43;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000145";"Started Burn In Process";0;0
44;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000355";"Started Burn In Process";0;0
45;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000308";"Started Burn In Process";0;0
46;"a1956";"2019-11-18 16:30:44";"Burn In Station";"30N004000361";"Started Burn In Process";0;0
47;"a1956";"2019-11-20 11:01:07";"Result Station";"30N004000357";"Marked Passed!";0;0
48;"a1956";"2019-11-20 11:01:20";"Result Station";"30N004000208";"Marked Passed!";0;0
49;"a1956";"2019-11-20 11:01:24";"Result Station";"30N004000037";"Marked Passed!";0;0
50;"a1956";"2019-11-20 11:01:34";"Result Station";"30N004000014";"Marked Passed!";0;0
51;"a1956";"2019-11-20 11:01:38";"Result Station";"30N004000145";"Marked Passed!";0;0
52;"a1956";"2019-11-20 11:01:43";"Result Station";"30N004000355";"Marked Passed!";0;0
53;"a1956";"2019-11-20 11:01:47";"Result Station";"30N004000308";"Marked Passed!";0;0
54;"a1956";"2019-11-20 11:01:51";"Result Station";"30N004000361";"Marked Passed!";0;0
55;"a1956";"2019-10-24 08:21:16";"Receiving Station";"30N004000039";"Received Controller Serial Number : 30N004000039";0;0
56;"a1956";"2019-10-24 08:21:23";"Assembly Station";"30N004000039";"Assembler Controller Serial Number : 30N004000039";0;0
57;"a1956";"2019-10-24 08:21:46";"Receiving Station";"30N004000200";"Received Controller Serial Number : 30N004000200";0;0
58;"a1956";"2019-10-24 08:21:55";"Receiving Station";"30N004000139";"Received Controller Serial Number : 30N004000139";0;0
59;"a1956";"2019-10-24 08:22:27";"Receiving Station";"30N004000064";"Received Controller Serial Number : 30N004000064";0;0
60;"a1956";"2019-10-24 08:22:32";"Receiving Station";"30N004000230";"Received Controller Serial Number : 30N004000230";0;0
61;"a1956";"2019-10-24 08:22:36";"Receiving Station";"30N004000240";"Received Controller Serial Number : 30N004000240";0;0
62;"a1956";"2019-10-24 08:22:40";"Receiving Station";"30N004000140";"Received Controller Serial Number : 30N004000140";0;0
63;"a1956";"2019-10-24 08:22:47";"Receiving Station";"30N004000199";"Received Controller Serial Number : 30N004000199";0;0
64;"a1956";"2019-10-24 08:22:51";"Receiving Station";"30N004000083";"Received Controller Serial Number : 30N004000083";0;0
65;"a1956";"2019-10-24 08:22:55";"Receiving Station";"30N004000000";"Received Controller Serial Number : 30N004000000";0;0
66;"a1956";"2019-10-24 08:23:00";"Receiving Station";"30N004000189";"Received Controller Serial Number : 30N004000189";0;0
67;"a1956";"2019-10-24 08:23:05";"Receiving Station";"30N004000128";"Received Controller Serial Number : 30N004000128";0;0
68;"a1956";"2019-10-24 08:23:10";"Receiving Station";"30N004000198";"Received Controller Serial Number : 30N004000198";0;0
69;"a1956";"2019-10-24 08:23:14";"Receiving Station";"30N004000395";"Received Controller Serial Number : 30N004000395";0;0
70;"a1956";"2019-10-24 08:23:17";"Receiving Station";"30N004000338";"Received Controller Serial Number : 30N004000338";0;0
71;"a1956";"2019-10-24 08:23:22";"Receiving Station";"30N004000116";"Received Controller Serial Number : 30N004000116";0;0
72;"a1956";"2019-10-24 08:23:26";"Receiving Station";"30N004000319";"Received Controller Serial Number : 30N004000319";0;0
73;"a1956";"2019-10-24 08:23:29";"Receiving Station";"30N004000013";"Received Controller Serial Number : 30N004000013";0;0
74;"a1956";"2019-10-24 08:23:34";"Receiving Station";"30N004000110";"Received Controller Serial Number : 30N004000110";0;0
75;"a1956";"2019-10-24 08:23:38";"Receiving Station";"30N004000325";"Received Controller Serial Number : 30N004000325";0;0
76;"a1956";"2019-10-24 08:23:42";"Receiving Station";"30N004000126";"Received Controller Serial Number : 30N004000126";0;0
77;"a1956";"2019-10-24 08:23:46";"Receiving Station";"30N004000313";"Received Controller Serial Number : 30N004000313";0;0
78;"a1956";"2019-10-24 08:23:53";"Receiving Station";"30N004000239";"Received Controller Serial Number : 30N004000239";0;0
79;"a1956";"2019-10-24 08:23:57";"Receiving Station";"30N004000078";"Received Controller Serial Number : 30N004000078";0;0
80;"a1956";"2019-10-24 08:24:01";"Receiving Station";"30N004000118";"Received Controller Serial Number : 30N004000118";0;0
81;"a1956";"2019-10-24 08:24:05";"Receiving Station";"30N004000236";"Received Controller Serial Number : 30N004000236";0;0
82;"a1956";"2019-10-24 08:24:12";"Receiving Station";"30N004000346";"Received Controller Serial Number : 30N004000346";0;0
83;"a1956";"2019-10-24 08:24:17";"Receiving Station";"30N004000072";"Received Controller Serial Number : 30N004000072";0;0
84;"a1956";"2019-10-24 08:24:22";"Receiving Station";"30N004000211";"Received Controller Serial Number : 30N004000211";0;0
85;"a1956";"2019-10-24 08:24:25";"Receiving Station";"30N004000081";"Received Controller Serial Number : 30N004000081";0;0
86;"a1956";"2019-10-24 08:24:30";"Receiving Station";"30N004000367";"Received Controller Serial Number : 30N004000367";0;0
87;"a1956";"2019-10-24 08:24:35";"Receiving Station";"30N004000213";"Received Controller Serial Number : 30N004000213";0;0
88;"a1956";"2019-10-24 08:24:40";"Receiving Station";"30N004000188";"Received Controller Serial Number : 30N004000188";0;0
89;"a1956";"2019-10-24 08:24:44";"Receiving Station";"30N004000334";"Received Controller Serial Number : 30N004000334";0;0
90;"a1956";"2019-10-24 08:24:49";"Receiving Station";"30N004000141";"Received Controller Serial Number : 30N004000141";0;0
91;"a1956";"2019-10-24 08:24:54";"Receiving Station";"30N004000101";"Received Controller Serial Number : 30N004000101";0;0
92;"a1956";"2019-10-24 08:24:59";"Receiving Station";"30N004000374";"Received Controller Serial Number : 30N004000374";0;0
93;"a1956";"2019-10-24 08:25:11";"Receiving Station";"30N004000093";"Received Controller Serial Number : 30N004000093";0;0
94;"a1956";"2019-10-24 08:25:15";"Receiving Station";"30N004000225";"Received Controller Serial Number : 30N004000225";0;0
95;"a1956";"2019-10-24 08:25:20";"Receiving Station";"30N004000143";"Received Controller Serial Number : 30N004000143";0;0
96;"a1956";"2019-10-24 08:25:25";"Receiving Station";"30N004000314";"Received Controller Serial Number : 30N004000314";0;0
97;"a1956";"2019-10-24 08:25:29";"Receiving Station";"30N004000373";"Received Controller Serial Number : 30N004000373";0;0
98;"a1956";"2019-10-24 08:25:34";"Receiving Station";"30N004000020";"Received Controller Serial Number : 30N004000020";0;0
99;"a1956";"2019-10-24 08:25:38";"Receiving Station";"30N004000194";"Received Controller Serial Number : 30N004000194";0;0
100;"a1956";"2019-10-24 08:25:43";"Receiving Station";"30N004000402";"Received Controller Serial Number : 30N004000402";0;0
101;"a1956";"2019-10-24 08:25:48";"Receiving Station";"30N004000392";"Received Controller Serial Number : 30N004000392";0;0
102;"a1956";"2019-10-24 08:25:53";"Receiving Station";"30N004000058";"Received Controller Serial Number : 30N004000058";0;0
103;"a1956";"2019-10-24 08:25:57";"Receiving Station";"30N004000306";"Received Controller Serial Number : 30N004000306";0;0
104;"a1956";"2019-10-24 08:26:02";"Receiving Station";"30N004000206";"Received Controller Serial Number : 30N004000206";0;0
105;"a1956";"2019-10-24 08:26:06";"Receiving Station";"30N004000091";"Received Controller Serial Number : 30N004000091";0;0
106;"a1956";"2019-10-24 08:26:18";"Assembly Station";"30N004000200";"Assembler Controller Serial Number : 30N004000200";0;0
107;"a1956";"2019-10-24 08:26:25";"Assembly Station";"30N004000139";"Assembler Controller Serial Number : 30N004000139";0;0
108;"a1956";"2019-10-24 08:26:29";"Assembly Station";"30N004000064";"Assembler Controller Serial Number : 30N004000064";0;0
109;"a1956";"2019-10-24 08:26:33";"Assembly Station";"30N004000230";"Assembler Controller Serial Number : 30N004000230";0;0
110;"a1956";"2019-10-24 08:27:00";"Assembly Station";"30N004000240";"Assembler Controller Serial Number : 30N004000240";0;0
111;"a1956";"2019-10-24 08:27:09";"Assembly Station";"30N004000140";"Assembler Controller Serial Number : 30N004000140";0;0
112;"a1956";"2019-10-24 08:27:24";"Assembly Station";"30N004000199";"Assembler Controller Serial Number : 30N004000199";0;0
113;"a1956";"2019-10-24 08:27:38";"Assembly Station";"30N004000083";"Assembler Controller Serial Number : 30N004000083";0;0
114;"a1956";"2019-10-24 08:27:42";"Assembly Station";"30N004000000";"Assembler Controller Serial Number : 30N004000000";0;0
115;"a1956";"2019-10-24 08:27:48";"Assembly Station";"30N004000189";"Assembler Controller Serial Number : 30N004000189";0;0
116;"a1956";"2019-10-24 08:27:53";"Assembly Station";"30N004000128";"Assembler Controller Serial Number : 30N004000128";0;0
117;"a1956";"2019-10-24 08:28:22";"Assembly Station";"30N004000198";"Assembler Controller Serial Number : 30N004000198";0;0
118;"a1956";"2019-10-24 08:28:26";"Assembly Station";"30N004000395";"Assembler Controller Serial Number : 30N004000395";0;0
119;"a1956";"2019-10-24 08:28:30";"Assembly Station";"30N004000338";"Assembler Controller Serial Number : 30N004000338";0;0
120;"a1956";"2019-10-24 08:28:34";"Assembly Station";"30N004000116";"Assembler Controller Serial Number : 30N004000116";0;0
121;"a1956";"2019-10-24 08:28:37";"Assembly Station";"30N004000319";"Assembler Controller Serial Number : 30N004000319";0;0
122;"a1956";"2019-10-24 08:28:41";"Assembly Station";"30N004000013";"Assembler Controller Serial Number : 30N004000013";0;0
123;"a1956";"2019-10-24 08:28:45";"Assembly Station";"30N004000110";"Assembler Controller Serial Number : 30N004000110";0;0
124;"a1956";"2019-10-24 08:28:49";"Assembly Station";"30N004000325";"Assembler Controller Serial Number : 30N004000325";0;0
125;"a1956";"2019-10-24 08:28:54";"Assembly Station";"30N004000126";"Assembler Controller Serial Number : 30N004000126";0;0
126;"a1956";"2019-10-24 08:28:58";"Assembly Station";"30N004000313";"Assembler Controller Serial Number : 30N004000313";0;0
127;"a1956";"2019-10-24 08:29:02";"Assembly Station";"30N004000239";"Assembler Controller Serial Number : 30N004000239";0;0
128;"a1956";"2019-10-24 08:29:06";"Assembly Station";"30N004000078";"Assembler Controller Serial Number : 30N004000078";0;0
129;"a1956";"2019-10-24 08:29:09";"Assembly Station";"30N004000118";"Assembler Controller Serial Number : 30N004000118";0;0
130;"a1956";"2019-10-24 08:29:13";"Assembly Station";"30N004000236";"Assembler Controller Serial Number : 30N004000236";0;0
131;"a1956";"2019-10-24 08:29:18";"Assembly Station";"30N004000346";"Assembler Controller Serial Number : 30N004000346";0;0
132;"a1956";"2019-10-24 08:29:22";"Assembly Station";"30N004000072";"Assembler Controller Serial Number : 30N004000072";0;0
133;"a1956";"2019-10-24 08:29:28";"Assembly Station";"30N004000211";"Assembler Controller Serial Number : 30N004000211";0;0
134;"a1956";"2019-10-24 08:29:33";"Assembly Station";"30N004000081";"Assembler Controller Serial Number : 30N004000081";0;0
135;"a1956";"2019-10-24 08:29:37";"Assembly Station";"30N004000367";"Assembler Controller Serial Number : 30N004000367";0;0
136;"a1956";"2019-10-24 08:29:42";"Assembly Station";"30N004000213";"Assembler Controller Serial Number : 30N004000213";0;0
137;"a1956";"2019-10-24 08:29:46";"Assembly Station";"30N004000188";"Assembler Controller Serial Number : 30N004000188";0;0
138;"a1956";"2019-10-24 08:29:51";"Assembly Station";"30N004000334";"Assembler Controller Serial Number : 30N004000334";0;0
139;"a1956";"2019-10-24 08:29:56";"Assembly Station";"30N004000141";"Assembler Controller Serial Number : 30N004000141";0;0
140;"a1956";"2019-10-24 08:30:05";"Assembly Station";"30N004000101";"Assembler Controller Serial Number : 30N004000101";0;0
141;"a1956";"2019-10-24 08:30:10";"Assembly Station";"30N004000374";"Assembler Controller Serial Number : 30N004000374";0;0
142;"a1956";"2019-10-24 08:30:14";"Assembly Station";"30N004000093";"Assembler Controller Serial Number : 30N004000093";0;0
143;"a1956";"2019-10-24 08:30:18";"Assembly Station";"30N004000225";"Assembler Controller Serial Number : 30N004000225";0;0
144;"a1956";"2019-10-24 08:30:24";"Assembly Station";"30N004000143";"Assembler Controller Serial Number : 30N004000143";0;0
145;"a1956";"2019-10-24 08:30:29";"Assembly Station";"30N004000314";"Assembler Controller Serial Number : 30N004000314";0;0
146;"a1956";"2019-10-24 08:30:35";"Assembly Station";"30N004000373";"Assembler Controller Serial Number : 30N004000373";0;0
